DATAFLOW,CLASSIFICATION: Classification,MEASURE: Measure,"SALTS: Sex, Age, and Location","SALTSSTUB: Sex, Age, and Location Questions",CYCLE: Cycle,FREQUENCY: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,14.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,13.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,15.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,10.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,8.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,7.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,24.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,21.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,23.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,20.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,18.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,18.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,79.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,81.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,81.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),SEXF: Female,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,41.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,51.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,47.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,26.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,18.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,19.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,16.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,13.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,15.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,14.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,12.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,31.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,28.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,29.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,18.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,15.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,16.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,81.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,84.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,83.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),18_34: 18 to 34,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,61,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,59.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,53.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,21.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,18.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,23.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,11.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,12.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,11.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,6.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,5.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,30: Psychological distress - Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,6.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,35: Psychological distress - High / Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,17.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,35: Psychological distress - High / Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,17.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,35: Psychological distress - High / Very high distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,40: Psychological distress - Total persons aged 18 years and over,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,40: Psychological distress - Total persons aged 18 years and over,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,40: Psychological distress - Total persons aged 18 years and over,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,50: Discussed feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,15.4,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,50: Discussed feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,15.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,50: Discussed feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,14.3,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,84.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,84.5,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,55: Did not discuss feelings of psychological distress with a doctor or other health professional,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,85.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),35_64: 35 to 64,60: Total persons who felt psychological distress that impacted on their emotional and mental wellbeing in the last four weeks,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,100,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,15: Psychological distress - Low distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,73.7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,15: Psychological distress - Low distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,70.8,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,15: Psychological distress - Low distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,66.1,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,20: Psychological distress - Moderate distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,17.2,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,20: Psychological distress - Moderate distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,16,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,20: Psychological distress - Moderate distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,17.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,25: Psychological distress - High distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,6.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,25: Psychological distress - High distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,6.9,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,25: Psychological distress - High distress level,C20: June 2021 (monthly cycle 11),M: Monthly,2021-06,7,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,30: Psychological distress - Very high distress level,C13: November 2020 (monthly cycle 4),M: Monthly,2020-11,2.6,PCT: Percent,,
ABS:COVID_SALTS(1.0.0),PD: Psychological distress,PROP: Proportion (%),65_O: 65 and over,30: Psychological distress - Very high distress level,C17: March 2021 (monthly cycle 8),M: Monthly,2021-03,2.5,PCT: Percent,,
